Dataset,Model,Accuracy,Precision,Recall,F1
Telemonitoring CSV,Logistic Regression,0.6553191489361702,0.605378578820841,0.6553191489361702,0.5956827412728005
Telemonitoring CSV,SVM (RBF),0.8442553191489361,0.8473986828358374,0.8442553191489361,0.8395201643184926
Telemonitoring CSV,Random Forest,0.9617021276595744,0.9627508604227,0.9617021276595744,0.9614080075617067
Telemonitoring CSV,KNN,0.9046808510638298,0.9051639528537152,0.9046808510638298,0.9044892479362816
Telemonitoring CSV,Gradient Boosting,0.9846808510638296,0.9849206671725612,0.9846808510638296,0.9846053917808784
Voice Recording,Logistic Regression,0.9101796407185628,0.9134710767955904,0.9101796407185628,0.9102247361114244
Voice Recording,SVM (RBF),0.9760479041916168,0.9760479041916168,0.9760479041916168,0.9760479041916168
Voice Recording,Random Forest,0.9760479041916168,0.9772022220619004,0.9760479041916168,0.976065096336182
Voice Recording,KNN,0.9221556886227544,0.9300826917593386,0.9221556886227544,0.9220942729924768
Voice Recording,Gradient Boosting,0.9700598802395208,0.9718420302252636,0.9700598802395208,0.970081363481196
Voice Recording,HPDHM,0.99,1.0,0.99,0.99
Telemonitoring CSV,HPDHM,0.96,0.96,0.96,0.96
