,mean,std
MFCC_1,-444.39,99.43
MFCC_2,91.39,25.07
MFCC_3,2.88,28.91
MFCC_4,9.67,29.61
MFCC_5,-19.92,20.13
MFCC_6,-14.12,20.32
MFCC_7,-13.05,14.68
MFCC_8,-13.09,13.74
MFCC_9,-16.72,12.96
MFCC_10,-8.59,12.21
MFCC_11,-9.93,9.35
MFCC_12,-8.36,9.27
MFCC_13,-8.75,8.71
MFCC_14,-5.94,7.87
MFCC_15,-8.01,7.48
MFCC_16,-6.21,8.22
MFCC_17,-6.05,6.75
MFCC_18,-6.07,6.19
MFCC_19,-5.76,5.47
MFCC_20,-4.81,6.58
MFCC_21,-5.82,5.11
MFCC_22,-5.07,5.06
MFCC_23,-6.69,5.15
MFCC_24,-4.39,4.73
MFCC_25,-4.21,5.69
MFCC_26,-3.75,7.26
MFCC_27,-1.25,7.9
MFCC_28,-1.05,9.04
MFCC_29,-1.28,8.32
MFCC_30,-0.69,8.3
MFCC_31,-1.51,7.91
MFCC_32,-1.05,8.36
MFCC_33,-0.95,8.01
MFCC_34,0.68,9.58
MFCC_35,2.01,10.72
MFCC_36,3.36,11.97
MFCC_37,3.69,10.65
MFCC_38,3.06,10.16
MFCC_39,2.0,9.38
MFCC_40,2.12,8.85
