,mean,std
MFCC_1,-430.92,98.36
MFCC_2,109.53,40.12
MFCC_3,17.58,29.24
MFCC_4,24.63,30.29
MFCC_5,-3.6,24.21
MFCC_6,-2.2,19.74
MFCC_7,-3.55,15.83
MFCC_8,-0.61,12.62
MFCC_9,-5.25,12.01
MFCC_10,0.71,11.51
MFCC_11,-4.1,9.84
MFCC_12,-3.76,10.21
MFCC_13,-3.46,9.85
MFCC_14,-3.41,8.73
MFCC_15,-2.81,8.91
MFCC_16,-4.67,8.84
MFCC_17,-2.8,7.3
MFCC_18,-3.82,7.39
MFCC_19,-3.83,7.03
MFCC_20,-3.05,6.49
MFCC_21,-5.33,6.26
MFCC_22,-2.7,5.06
MFCC_23,-5.23,5.94
MFCC_24,-3.14,5.71
MFCC_25,-4.72,6.43
MFCC_26,-2.93,6.47
MFCC_27,-4.07,6.69
MFCC_28,-1.9,8.45
MFCC_29,-1.91,9.31
MFCC_30,-0.94,11.13
MFCC_31,-0.81,11.86
MFCC_32,0.19,12.15
MFCC_33,-0.52,11.54
MFCC_34,-0.79,9.94
MFCC_35,-1.15,9.02
MFCC_36,-0.14,9.61
MFCC_37,-0.04,10.36
MFCC_38,1.02,11.0
MFCC_39,0.73,11.05
MFCC_40,1.15,10.72
